algorithm,data_type,size,run_number,time_ms,sorted_correctly
Merge sort,Partially sorted data,100000,5,62.000,yes
Merge sort,Partially sorted data,100000,6,59.971,yes
Merge sort,Partially sorted data,100000,7,63.313,yes
Merge sort,Partially sorted data,100000,8,61.290,yes
Merge sort,Partially sorted data,100000,9,61.666,yes
Merge sort,Partially sorted data,100000,10,60.849,yes
Merge sort,Partially sorted data,500000,1,358.705,yes
Merge sort,Partially sorted data,500000,2,359.374,yes
Merge sort,Partially sorted data,500000,3,371.485,yes
Merge sort,Partially sorted data,500000,4,357.983,yes
Merge sort,Partially sorted data,500000,5,319.496,yes
Merge sort,Partially sorted data,500000,6,441.833,yes
Merge sort,Partially sorted data,500000,7,406.088,yes
Merge sort,Partially sorted data,500000,8,389.918,yes
Merge sort,Partially sorted data,500000,9,388.690,yes
Merge sort,Partially sorted data,500000,10,376.257,yes
Merge sort,Partially sorted data,1000000,1,847.499,yes
Merge sort,Partially sorted data,1000000,2,815.289,yes
Merge sort,Partially sorted data,1000000,3,769.934,yes
Merge sort,Partially sorted data,1000000,4,753.458,yes
Merge sort,Partially sorted data,1000000,5,736.265,yes
Merge sort,Partially sorted data,1000000,6,743.373,yes
Merge sort,Partially sorted data,1000000,7,745.456,yes
Merge sort,Partially sorted data,1000000,8,727.110,yes
Merge sort,Partially sorted data,1000000,9,750.590,yes
Merge sort,Partially sorted data,1000000,10,793.489,yes
Merge sort,Reverse sorted data,10000,1,6.003,yes
Merge sort,Reverse sorted data,10000,2,5.501,yes
Merge sort,Reverse sorted data,10000,3,5.271,yes
Merge sort,Reverse sorted data,10000,4,5.335,yes
Merge sort,Reverse sorted data,10000,5,5.132,yes
Merge sort,Reverse sorted data,10000,6,4.870,yes
Merge sort,Reverse sorted data,10000,7,4.750,yes
Merge sort,Reverse sorted data,10000,8,4.029,yes
Merge sort,Reverse sorted data,10000,9,3.400,yes
Merge sort,Reverse sorted data,10000,10,3.512,yes
Merge sort,Reverse sorted data,50000,1,20.936,yes
Merge sort,Reverse sorted data,50000,2,23.099,yes
Merge sort,Reverse sorted data,50000,3,23.015,yes
Merge sort,Reverse sorted data,50000,4,26.283,yes
Merge sort,Reverse sorted data,50000,5,28.066,yes
Merge sort,Reverse sorted data,50000,6,28.477,yes
Merge sort,Reverse sorted data,50000,7,21.195,yes
Merge sort,Reverse sorted data,50000,8,19.853,yes
Merge sort,Reverse sorted data,50000,9,20.592,yes
Merge sort,Reverse sorted data,50000,10,19.840,yes
Merge sort,Reverse sorted data,100000,1,44.492,yes
Merge sort,Reverse sorted data,100000,2,49.863,yes
Merge sort,Reverse sorted data,100000,3,44.176,yes
Merge sort,Reverse sorted data,100000,4,47.349,yes
Merge sort,Reverse sorted data,100000,5,44.746,yes
Merge sort,Reverse sorted data,100000,6,51.933,yes
Merge sort,Reverse sorted data,100000,7,51.637,yes
Merge sort,Reverse sorted data,100000,8,51.405,yes
Merge sort,Reverse sorted data,100000,9,44.871,yes
Merge sort,Reverse sorted data,100000,10,47.468,yes
Merge sort,Reverse sorted data,500000,1,270.533,yes
Merge sort,Reverse sorted data,500000,2,293.580,yes
Merge sort,Reverse sorted data,500000,3,261.723,yes
Merge sort,Reverse sorted data,500000,4,284.698,yes
Merge sort,Reverse sorted data,500000,5,288.276,yes
Merge sort,Reverse sorted data,500000,6,326.211,yes
Merge sort,Reverse sorted data,500000,7,284.493,yes
Merge sort,Reverse sorted data,500000,8,279.769,yes
Merge sort,Reverse sorted data,500000,9,290.567,yes
Merge sort,Reverse sorted data,500000,10,290.181,yes
Merge sort,Reverse sorted data,1000000,1,609.817,yes
Merge sort,Reverse sorted data,1000000,2,622.684,yes
Merge sort,Reverse sorted data,1000000,3,655.702,yes
Merge sort,Reverse sorted data,1000000,4,613.784,yes
Merge sort,Reverse sorted data,1000000,5,588.216,yes
Merge sort,Reverse sorted data,1000000,6,570.714,yes
Merge sort,Reverse sorted data,1000000,7,570.291,yes
Merge sort,Reverse sorted data,1000000,8,616.051,yes
Merge sort,Reverse sorted data,1000000,9,598.406,yes
Merge sort,Reverse sorted data,1000000,10,586.669,yes
Quicksort,Random data,10000,1,3.800,yes
Quicksort,Random data,10000,2,3.905,yes
Quicksort,Random data,10000,3,3.873,yes
Quicksort,Random data,10000,4,4.057,yes
Quicksort,Random data,10000,5,4.073,yes
Quicksort,Random data,10000,6,4.063,yes
Quicksort,Random data,10000,7,4.034,yes
Quicksort,Random data,10000,8,3.787,yes
Quicksort,Random data,10000,9,3.675,yes
Quicksort,Random data,10000,10,3.375,yes
Quicksort,Random data,50000,1,19.341,yes
Quicksort,Random data,50000,2,24.086,yes
Quicksort,Random data,50000,3,25.405,yes
Quicksort,Random data,50000,4,20.882,yes
Quicksort,Random data,50000,5,20.408,yes
Quicksort,Random data,50000,6,19.091,yes
Quicksort,Random data,50000,7,21.622,yes
Quicksort,Random data,50000,8,20.069,yes
Quicksort,Random data,50000,9,21.474,yes
Quicksort,Random data,50000,10,22.287,yes
Quicksort,Random data,100000,1,45.187,yes
Quicksort,Random data,100000,2,47.114,yes
Quicksort,Random data,100000,3,45.077,yes
Quicksort,Random data,100000,4,42.580,yes
Quicksort,Random data,100000,5,48.256,yes
Quicksort,Random data,100000,6,46.759,yes
Quicksort,Random data,100000,7,44.470,yes
Quicksort,Random data,100000,8,45.830,yes
Quicksort,Random data,100000,9,44.845,yes
Quicksort,Random data,100000,10,41.743,yes
Quicksort,Random data,500000,1,273.923,yes
Quicksort,Random data,500000,2,265.946,yes
Quicksort,Random data,500000,3,273.644,yes
Quicksort,Random data,500000,4,289.294,yes
Quicksort,Random data,500000,5,301.158,yes
Quicksort,Random data,500000,6,302.058,yes
Quicksort,Random data,500000,7,274.550,yes
Quicksort,Random data,500000,8,304.167,yes
Quicksort,Random data,500000,9,283.455,yes
Quicksort,Random data,500000,10,301.098,yes
Quicksort,Random data,1000000,1,607.678,yes
Quicksort,Random data,1000000,2,562.051,yes
Quicksort,Random data,1000000,3,516.079,yes
Quicksort,Random data,1000000,4,564.632,yes
Quicksort,Random data,1000000,5,572.668,yes
Quicksort,Random data,1000000,6,570.480,yes
Quicksort,Random data,1000000,7,553.870,yes
Quicksort,Random data,1000000,8,563.192,yes
Quicksort,Random data,1000000,9,559.138,yes
Quicksort,Random data,1000000,10,577.250,yes
Quicksort,Partially sorted data,10000,1,3.121,yes
Quicksort,Partially sorted data,10000,2,3.074,yes
Quicksort,Partially sorted data,10000,3,3.001,yes
Quicksort,Partially sorted data,10000,4,2.921,yes
Quicksort,Partially sorted data,10000,5,3.354,yes
Quicksort,Partially sorted data,10000,6,3.679,yes
Quicksort,Partially sorted data,10000,7,3.663,yes
Quicksort,Partially sorted data,10000,8,3.497,yes
Quicksort,Partially sorted data,10000,9,3.788,yes
Quicksort,Partially sorted data,10000,10,3.274,yes
Quicksort,Partially sorted data,50000,1,15.842,yes
Quicksort,Partially sorted data,50000,2,17.041,yes
Quicksort,Partially sorted data,50000,3,15.392,yes
Quicksort,Partially sorted data,50000,4,17.101,yes
Quicksort,Partially sorted data,50000,5,15.982,yes
Quicksort,Partially sorted data,50000,6,16.050,yes
Quicksort,Partially sorted data,50000,7,14.705,yes
Quicksort,Partially sorted data,50000,8,19.851,yes
Quicksort,Partially sorted data,50000,9,16.698,yes
Quicksort,Partially sorted data,50000,10,14.599,yes
Quicksort,Partially sorted data,100000,1,41.537,yes
Quicksort,Partially sorted data,100000,2,38.153,yes
Quicksort,Partially sorted data,100000,3,35.931,yes
Quicksort,Partially sorted data,100000,4,40.471,yes
Quicksort,Partially sorted data,100000,5,34.937,yes
Quicksort,Partially sorted data,100000,6,38.146,yes
Quicksort,Partially sorted data,100000,7,34.471,yes
Quicksort,Partially sorted data,100000,8,34.941,yes
Quicksort,Partially sorted data,100000,9,37.869,yes
Quicksort,Partially sorted data,100000,10,33.755,yes
Quicksort,Partially sorted data,500000,1,248.877,yes
Quicksort,Partially sorted data,500000,2,208.143,yes
Quicksort,Partially sorted data,500000,3,229.062,yes
Quicksort,Partially sorted data,500000,4,220.578,yes
Quicksort,Partially sorted data,500000,5,235.038,yes
Quicksort,Partially sorted data,500000,6,226.023,yes
Quicksort,Partially sorted data,500000,7,197.793,yes
Quicksort,Partially sorted data,500000,8,232.277,yes
Quicksort,Partially sorted data,500000,9,251.800,yes
Quicksort,Partially sorted data,500000,10,197.266,yes
Quicksort,Partially sorted data,1000000,1,400.260,yes
Quicksort,Partially sorted data,1000000,2,391.471,yes
Quicksort,Partially sorted data,1000000,3,419.254,yes
Quicksort,Partially sorted data,1000000,4,386.354,yes
Quicksort,Partially sorted data,1000000,5,474.470,yes
Quicksort,Partially sorted data,1000000,6,475.685,yes
Quicksort,Partially sorted data,1000000,7,472.901,yes
Quicksort,Partially sorted data,1000000,8,472.781,yes
Quicksort,Partially sorted data,1000000,9,647.995,yes
Quicksort,Partially sorted data,1000000,10,909.002,yes
Quicksort,Reverse sorted data,10000,1,11.015,yes
Quicksort,Reverse sorted data,10000,2,8.772,yes
Quicksort,Reverse sorted data,10000,3,12.590,yes
Quicksort,Reverse sorted data,10000,4,9.453,yes
Quicksort,Reverse sorted data,10000,5,5.342,yes
Quicksort,Reverse sorted data,10000,6,5.030,yes
Quicksort,Reverse sorted data,10000,7,8.680,yes
Quicksort,Reverse sorted data,10000,8,13.521,yes
Quicksort,Reverse sorted data,10000,9,9.895,yes
Quicksort,Reverse sorted data,10000,10,8.782,yes
Quicksort,Reverse sorted data,50000,1,59.299,yes
Quicksort,Reverse sorted data,50000,2,57.620,yes
Quicksort,Reverse sorted data,50000,3,54.427,yes
Quicksort,Reverse sorted data,50000,4,55.281,yes
Quicksort,Reverse sorted data,50000,5,55.251,yes
Quicksort,Reverse sorted data,50000,6,60.964,yes
Quicksort,Reverse sorted data,50000,7,55.667,yes
Quicksort,Reverse sorted data,50000,8,55.904,yes
Quicksort,Reverse sorted data,50000,9,57.281,yes
Quicksort,Reverse sorted data,50000,10,59.286,yes
Quicksort,Reverse sorted data,100000,1,120.227,yes
Quicksort,Reverse sorted data,100000,2,125.725,yes
Quicksort,Reverse sorted data,100000,3,122.566,yes
Quicksort,Reverse sorted data,100000,4,122.817,yes
Quicksort,Reverse sorted data,100000,5,123.486,yes
Quicksort,Reverse sorted data,100000,6,121.501,yes
Quicksort,Reverse sorted data,100000,7,132.639,yes
Quicksort,Reverse sorted data,100000,8,118.831,yes
Quicksort,Reverse sorted data,100000,9,120.352,yes
Quicksort,Reverse sorted data,100000,10,121.787,yes
Quicksort,Reverse sorted data,500000,1,718.499,yes
Quicksort,Reverse sorted data,500000,2,708.635,yes
Quicksort,Reverse sorted data,500000,3,696.941,yes
Quicksort,Reverse sorted data,500000,4,711.774,yes
Quicksort,Reverse sorted data,500000,5,680.875,yes
Quicksort,Reverse sorted data,500000,6,696.513,yes
Quicksort,Reverse sorted data,500000,7,698.329,yes
Quicksort,Reverse sorted data,500000,8,697.307,yes
Quicksort,Reverse sorted data,500000,9,672.493,yes
Quicksort,Reverse sorted data,500000,10,685.228,yes
Quicksort,Reverse sorted data,1000000,1,1462.660,yes
Quicksort,Reverse sorted data,1000000,2,1623.745,yes
Quicksort,Reverse sorted data,1000000,3,1502.717,yes
Quicksort,Reverse sorted data,1000000,4,1466.432,yes
Quicksort,Reverse sorted data,1000000,5,1506.249,yes
Quicksort,Reverse sorted data,1000000,6,1551.442,yes
Quicksort,Reverse sorted data,1000000,7,1495.137,yes
Quicksort,Reverse sorted data,1000000,8,1524.665,yes
Quicksort,Reverse sorted data,1000000,9,1529.194,yes
Quicksort,Reverse sorted data,1000000,10,1534.225,yes
Introsort,Random data,10000,1,7.426,yes
Introsort,Random data,10000,2,10.177,yes
Introsort,Random data,10000,3,8.120,yes
Introsort,Random data,10000,4,6.685,yes
Introsort,Random data,10000,5,7.402,yes
Introsort,Random data,10000,6,6.925,yes
Introsort,Random data,10000,7,6.721,yes
Introsort,Random data,10000,8,7.664,yes
Introsort,Random data,10000,9,7.546,yes
Introsort,Random data,10000,10,7.281,yes
Introsort,Random data,50000,1,41.346,yes
Introsort,Random data,50000,2,44.646,yes
Introsort,Random data,50000,3,39.619,yes
Introsort,Random data,50000,4,43.657,yes
Introsort,Random data,50000,5,36.044,yes
Introsort,Random data,50000,6,43.180,yes
Introsort,Random data,50000,7,42.173,yes
Introsort,Random data,50000,8,39.408,yes
Introsort,Random data,50000,9,58.517,yes
Introsort,Random data,50000,10,44.268,yes
Introsort,Random data,100000,1,83.551,yes
Introsort,Random data,100000,2,90.655,yes
Introsort,Random data,100000,3,86.555,yes
Introsort,Random data,100000,4,88.010,yes
Introsort,Random data,100000,5,88.578,yes
Introsort,Random data,100000,6,83.378,yes
Introsort,Random data,100000,7,85.511,yes
Introsort,Random data,100000,8,90.038,yes
Introsort,Random data,100000,9,85.119,yes
Introsort,Random data,100000,10,89.694,yes
Introsort,Random data,500000,1,519.565,yes
Introsort,Random data,500000,2,504.007,yes
Introsort,Random data,500000,3,508.109,yes
Introsort,Random data,500000,4,508.492,yes
Introsort,Random data,500000,5,501.120,yes
Introsort,Random data,500000,6,511.708,yes
Introsort,Random data,500000,7,527.112,yes
Introsort,Random data,500000,8,521.568,yes
Introsort,Random data,500000,9,534.715,yes
Introsort,Random data,500000,10,521.035,yes
Introsort,Random data,1000000,1,1129.190,yes
Introsort,Random data,1000000,2,1124.436,yes
Introsort,Random data,1000000,3,1114.556,yes
Introsort,Random data,1000000,4,1098.111,yes
Introsort,Random data,1000000,5,1075.001,yes
Introsort,Random data,1000000,6,1095.357,yes
Introsort,Random data,1000000,7,1088.515,yes
Introsort,Random data,1000000,8,1090.436,yes
Introsort,Random data,1000000,9,1094.786,yes
Introsort,Random data,1000000,10,1072.433,yes
Introsort,Partially sorted data,10000,1,5.184,yes
Introsort,Partially sorted data,10000,2,6.074,yes
Introsort,Partially sorted data,10000,3,6.434,yes
Introsort,Partially sorted data,10000,4,6.580,yes
Introsort,Partially sorted data,10000,5,5.596,yes
Introsort,Partially sorted data,10000,6,5.457,yes
Introsort,Partially sorted data,10000,7,5.769,yes
Introsort,Partially sorted data,10000,8,5.592,yes
Introsort,Partially sorted data,10000,9,6.086,yes
Introsort,Partially sorted data,10000,10,6.398,yes
Introsort,Partially sorted data,50000,1,35.055,yes
Introsort,Partially sorted data,50000,2,36.173,yes
Introsort,Partially sorted data,50000,3,37.807,yes
Introsort,Partially sorted data,50000,4,35.161,yes
Introsort,Partially sorted data,50000,5,35.761,yes
Introsort,Partially sorted data,50000,6,34.653,yes
Introsort,Partially sorted data,50000,7,35.759,yes
Introsort,Partially sorted data,50000,8,36.087,yes
Introsort,Partially sorted data,50000,9,36.704,yes
Introsort,Partially sorted data,50000,10,35.711,yes
Introsort,Partially sorted data,100000,1,77.665,yes
Introsort,Partially sorted data,100000,2,73.794,yes
Introsort,Partially sorted data,100000,3,76.850,yes
Introsort,Partially sorted data,100000,4,72.355,yes
Introsort,Partially sorted data,100000,5,72.971,yes
Introsort,Partially sorted data,100000,6,76.325,yes
Introsort,Partially sorted data,100000,7,74.804,yes
Introsort,Partially sorted data,100000,8,78.589,yes
Introsort,Partially sorted data,100000,9,75.267,yes
Introsort,Partially sorted data,100000,10,73.746,yes
Introsort,Partially sorted data,500000,1,407.038,yes
Introsort,Partially sorted data,500000,2,420.692,yes
Introsort,Partially sorted data,500000,3,412.259,yes
Introsort,Partially sorted data,500000,4,424.637,yes
Introsort,Partially sorted data,500000,5,419.787,yes
Introsort,Partially sorted data,500000,6,401.310,yes
Introsort,Partially sorted data,500000,7,404.390,yes
Introsort,Partially sorted data,500000,8,353.116,yes
Introsort,Partially sorted data,500000,9,203.777,yes
Introsort,Partially sorted data,500000,10,216.979,yes
Introsort,Partially sorted data,1000000,1,475.875,yes
Introsort,Partially sorted data,1000000,2,470.031,yes
Introsort,Partially sorted data,1000000,3,507.639,yes
Introsort,Partially sorted data,1000000,4,477.448,yes
Introsort,Partially sorted data,1000000,5,453.121,yes
Introsort,Partially sorted data,1000000,6,447.352,yes
Introsort,Partially sorted data,1000000,7,406.067,yes
Introsort,Partially sorted data,1000000,8,462.249,yes
Introsort,Partially sorted data,1000000,9,469.479,yes
Introsort,Partially sorted data,1000000,10,452.368,yes
Introsort,Reverse sorted data,10000,1,3.424,yes
Introsort,Reverse sorted data,10000,2,3.565,yes
Introsort,Reverse sorted data,10000,3,3.782,yes
Introsort,Reverse sorted data,10000,4,3.444,yes
Introsort,Reverse sorted data,10000,5,3.779,yes
Introsort,Reverse sorted data,10000,6,3.478,yes
Introsort,Reverse sorted data,10000,7,3.577,yes
Introsort,Reverse sorted data,10000,8,4.325,yes
Introsort,Reverse sorted data,10000,9,4.423,yes
Introsort,Reverse sorted data,10000,10,5.170,yes
Introsort,Reverse sorted data,50000,1,31.113,yes
Introsort,Reverse sorted data,50000,2,21.167,yes
Introsort,Reverse sorted data,50000,3,24.992,yes
Introsort,Reverse sorted data,50000,4,23.122,yes
Introsort,Reverse sorted data,50000,5,23.688,yes
Introsort,Reverse sorted data,50000,6,25.668,yes
Introsort,Reverse sorted data,50000,7,24.107,yes
Introsort,Reverse sorted data,50000,8,26.874,yes
Introsort,Reverse sorted data,50000,9,26.379,yes
Introsort,Reverse sorted data,50000,10,23.237,yes
Introsort,Reverse sorted data,100000,1,54.018,yes
Introsort,Reverse sorted data,100000,2,50.033,yes
Introsort,Reverse sorted data,100000,3,62.907,yes
Introsort,Reverse sorted data,100000,4,77.921,yes
Introsort,Reverse sorted data,100000,5,48.685,yes
Introsort,Reverse sorted data,100000,6,46.886,yes
Introsort,Reverse sorted data,100000,7,50.595,yes
Introsort,Reverse sorted data,100000,8,55.336,yes
Introsort,Reverse sorted data,100000,9,71.270,yes
Introsort,Reverse sorted data,100000,10,45.881,yes
Introsort,Reverse sorted data,500000,1,329.313,yes
Introsort,Reverse sorted data,500000,2,349.010,yes
Introsort,Reverse sorted data,500000,3,291.359,yes
Introsort,Reverse sorted data,500000,4,310.507,yes
Introsort,Reverse sorted data,500000,5,379.031,yes
Introsort,Reverse sorted data,500000,6,338.301,yes
Introsort,Reverse sorted data,500000,7,304.482,yes
Introsort,Reverse sorted data,500000,8,330.105,yes
Introsort,Reverse sorted data,500000,9,319.578,yes
Introsort,Reverse sorted data,500000,10,293.538,yes
Introsort,Reverse sorted data,1000000,1,673.472,yes
Introsort,Reverse sorted data,1000000,2,686.658,yes
Introsort,Reverse sorted data,1000000,3,639.783,yes
Introsort,Reverse sorted data,1000000,4,702.592,yes
Introsort,Reverse sorted data,1000000,5,710.221,yes
Introsort,Reverse sorted data,1000000,6,666.251,yes
Introsort,Reverse sorted data,1000000,7,707.404,yes
Introsort,Reverse sorted data,1000000,8,641.588,yes
Introsort,Reverse sorted data,1000000,9,650.426,yes
Introsort,Reverse sorted data,1000000,10,626.503,yes
